Pilecode,N,E
1.12.F.LBL,13691970.8652,3012087.3504
1.12.G.DBL,13691944.0913,3012087.3504
1.12.H.LBL,13691917.3178,3012087.3504
1.12.I.LBL,13691889.8395,3012087.3504
1.12.J.LBL,13691862.3612,3012087.3504
1.12.K.LBL,13691834.8829,3012087.3504
1.12.L.LBL,13691810.7707,3012087.3504
1.13.A.LBL,13692101.5244,3012107.3506
1.13.B.LBL,13692080.7784,3012107.3506
1.13.C.YEL,13692053.3001,3012107.3506
1.13.D.LBL,13692025.8218,3012107.3506
1.13.E.LBL,13691998.3435,3012107.3506
1.13.F.LBL,13691970.8652,3012107.3506
1.13.G.DBL,13691944.0913,3012107.3506
1.13.H.LBL,13691917.3178,3012107.3506
1.13.I.LBL,13691889.8395,3012107.3506
1.13.J.LBL,13691862.3612,3012107.3506
1.13.K.LBL,13691834.8829,3012107.3506
1.13.L.LBL,13691810.7707,3012107.3506
1.14.A.LBL,13692101.5244,3012127.3506
1.14.B.LBL,13692080.7784,3012127.3506
1.14.C.LBL,13692053.3001,3012127.3506
1.14.D.YEL,13692025.8218,3012127.3506
1.14.E.LBL,13691998.3435,3012127.3506
1.14.F.LBL,13691970.8652,3012127.3506
1.14.G.DBL,13691944.0913,3012127.3506
1.14.H.LBL,13691917.3178,3012127.3506
1.14.I.LBL,13691889.8395,3012127.3506
1.14.J.LBL,13691862.3612,3012127.3506
1.14.K.LBL,13691834.8829,3012127.3506
1.14.L.LBL,13691810.7707,3012127.3506
1.15.A.LBL,13692101.5244,3012147.3506
1.15.B.YEL,13692080.7784,3012147.3506
1.15.C.YEL,13692053.3001,3012147.3506
1.15.D.LBL,13692025.8218,3012147.3506
1.15.E.LBL,13691998.3435,3012147.3506
1.15.F.LBL,13691970.8652,3012147.3506
1.15.G.DBL,13691944.0913,3012147.3506
1.15.H.LBL,13691917.3178,3012147.3506
1.15.I.LBL,13691889.8395,3012147.3506
1.15.J.LBL,13691862.3612,3012147.3506
1.15.K.LBL,13691834.8829,3012147.3506
1.15.L.LBL,13691810.7707,3012147.3506
1.16.A.YEL,13692101.5244,3012167.3505
1.16.B.YEL,13692080.7784,3012167.3505
1.16.C.YEL,13692053.3001,3012167.3505
1.16.D.YEL,13692025.8218,3012167.3505
1.16.E.LBL,13691998.3435,3012167.3505
1.16.F.LBL,13691970.8652,3012167.3505
1.16.G.DBL,13691944.0913,3012167.3505
1.16.H.LBL,13691917.3178,3012167.3505
1.16.I.LBL,13691889.8395,3012167.3505
1.16.J.LBL,13691862.3612,3012167.3505
1.16.K.LBL,13691834.8829,3012167.3505
1.16.L.LBL,13691810.7707,3012167.3505
1.17.A.YEL,13692101.5244,3012187.3505
1.17.B.YEL,13692080.7784,3012187.3505
1.17.C.YEL,13692053.3001,3012187.3505
1.17.D.YEL,13692025.8218,3012187.3505
1.17.E.YEL,13691998.3435,3012187.3505
1.17.F.LBL,13691970.8652,3012187.3505
1.17.G.DBL,13691944.0913,3012187.3505
1.17.H.LBL,13691917.3178,3012187.3505
1.17.I.LBL,13691889.8395,3012187.3505
1.17.J.LBL,13691862.3612,3012187.3505
1.17.K.LBL,13691834.8829,3012187.3505
1.17.L.LBL,13691810.7707,3012187.3505
1.18.A.YEL,13692101.5244,3012207.3504
1.18.B.YEL,13692080.7784,3012207.3504
1.18.C.YEL,13692053.3001,3012207.3504
1.18.D.YEL,13692025.8218,3012207.3504
1.18.E.YEL,13691998.3435,3012207.3504
1.18.F.YEL,13691970.8652,3012207.3504
1.18.G.DBL,13691944.0913,3012207.3504
1.18.H.LBL,13691917.3178,3012207.3504
1.18.I.LBL,13691889.8395,3012207.3504
1.18.J.LBL,13691862.3612,3012207.3504
1.18.K.LBL,13691834.8829,3012207.3504
1.18.L.LBL,13691810.7707,3012207.3504
1.19.A.YEL,13692101.5244,3012227.3504
1.19.B.YEL,13692080.7784,3012227.3504
1.19.C.YEL,13692053.3001,3012227.3504
1.19.D.YEL,13692025.8218,3012227.3504
1.19.E.YEL,13691998.3435,3012227.3504
1.19.F.YEL,13691970.8652,3012227.3504
1.19.G.DBL,13691944.0913,3012227.3504
1.19.H.LBL,13691917.3178,3012227.3504
1.19.I.LBL,13691889.8395,3012227.3504
1.19.J.LBL,13691862.3612,3012227.3504
1.19.K.LBL,13691834.8829,3012227.3504
1.19.L.LBL,13691810.7707,3012227.3504
1.20.A.YEL,13692101.5244,3012247.3504
1.20.B.YEL,13692080.7784,3012247.3504
1.20.C.YEL,13692053.3001,3012247.3504
1.20.D.YEL,13692025.8218,3012247.3504
1.20.E.LBL,13691998.3435,3012247.3504
1.20.F.LBL,13691970.8652,3012247.3504
1.20.G.DBL,13691944.0913,3012247.3504
1.20.H.LBL,13691917.3178,3012247.3504
1.20.I.LBL,13691889.8395,3012247.3504
1.20.J.LBL,13691862.3612,3012247.3504
1.20.K.LBL,13691834.8829,3012247.3504
1.20.L.LBL,13691810.7707,3012247.3504
1.21.A.YEL,13692101.5244,3012267.3507
1.21.B.YEL,13692080.7784,3012267.3507
1.21.C.YEL,13692053.3001,3012267.3507
1.21.D.LBL,13692025.8218,3012267.3507
1.21.E.LBL,13691998.3435,3012267.3507
1.21.F.LBL,13691970.8652,3012267.3507
1.21.G.DBL,13691944.0913,3012267.3507
1.21.H.LBL,13691917.3178,3012267.3507
1.21.I.LBL,13691889.8395,3012267.3507
1.21.J.LBL,13691862.3612,3012267.3507
1.21.K.LBL,13691834.8829,3012267.3507
1.21.L.LBL,13691810.7707,3012267.3507
1.22.A.YEL,13692101.5244,3012287.3506
1.22.B.YEL,13692080.7784,3012287.3506
1.22.C.YEL,13692053.3001,3012287.3506
1.22.D.YEL,13692025.8218,3012287.3506
1.22.E.YEL,13691998.3435,3012287.3506
1.22.F.YEL,13691970.8652,3012287.3506
1.22.G.DBL,13691944.0913,3012287.3506
1.22.H.LBL,13691917.3178,3012287.3506
1.22.I.LBL,13691889.8395,3012287.3506
1.22.J.LBL,13691862.3612,3012287.3506
1.22.K.LBL,13691834.8829,3012287.3506
1.22.L.LBL,13691810.7707,3012287.3506
1.23.A.YEL,13692101.5244,3012307.3506
1.23.B.YEL,13692080.7784,3012307.3506
1.23.C.YEL,13692053.3001,3012307.3506
1.23.D.YEL,13692025.8218,3012307.3506
1.23.E.YEL,13691998.3435,3012307.3506
1.23.F.YEL,13691970.8652,3012307.3506
1.23.G.DBL,13691944.0913,3012307.3506
1.23.H.LBL,13691917.3178,3012307.3506
1.23.I.LBL,13691889.8395,3012307.3506
1.23.J.LBL,13691862.3612,3012307.3506
1.23.K.LBL,13691834.8829,3012307.3506
1.23.L.LBL,13691810.7707,3012307.3506
1.24.A.YEL,13692101.5244,3012327.3505
1.24.B.YEL,13692080.7784,3012327.3505
1.24.C.YEL,13692053.3001,3012327.3505
1.24.D.YEL,13692025.8218,3012327.3505
1.24.E.YEL,13691998.3435,3012327.3505
1.24.F.LBL,13691970.8652,3012327.3505
1.24.G.DBL,13691944.0913,3012327.3505
1.24.H.LBL,13691917.3178,3012327.3505
1.24.I.LBL,13691889.8395,3012327.3505
1.24.J.LBL,13691862.3612,3012327.3505
1.24.K.LBL,13691834.8829,3012327.3505
1.24.L.LBL,13691810.7707,3012327.3505
1.25.A.YEL,13692101.5244,3012347.3505
1.25.B.YEL,13692080.7784,3012347.3505
1.25.C.YEL,13692053.3001,3012347.3505
1.25.D.YEL,13692025.8218,3012347.3505
1.25.E.YEL,13691998.3435,3012347.3505
1.25.F.LBL,13691970.8652,3012347.3505
1.25.G.DBL,13691944.0913,3012347.3505
1.25.H.LBL,13691917.3178,3012347.3505
1.25.I.LBL,13691889.8395,3012347.3505
1.25.J.LBL,13691862.3612,3012347.3505
1.25.K.LBL,13691834.8829,3012347.3505
1.25.L.YEL,13691810.7707,3012347.3505
1.26.A.YEL,13692101.5244,3012367.3505
1.26.B.YEL,13692080.7784,3012367.3505
1.26.C.YEL,13692053.3001,3012367.3505
1.26.D.YEL,13692025.8218,3012367.3505
1.26.E.YEL,13691998.3435,3012367.3505
1.26.F.YEL,13691970.8652,3012367.3505
1.26.G.DBL,13691944.0913,3012367.3505
1.26.H.LBL,13691917.3178,3012367.3505
1.26.I.LBL,13691889.8395,3012367.3505
1.26.J.LBL,13691862.3612,3012367.3505
1.26.K.LBL,13691834.8829,3012367.3505
1.26.L.LBL,13691810.7707,3012367.3505
1.27.A.YEL,13692101.5244,3012387.3504
1.27.B.YEL,13692080.7784,3012387.3504
1.27.C.YEL,13692053.3001,3012387.3504
1.27.D.YEL,13692025.8218,3012387.3504
1.27.E.LBL,13691998.3435,3012387.3504
1.27.F.LBL,13691970.8652,3012387.3504
1.27.G.DBL,13691944.0913,3012387.3504
1.27.H.YEL,13691917.3178,3012387.3504
1.27.I.LBL,13691889.8395,3012387.3504
1.27.J.LBL,13691862.3612,3012387.3504
1.27.K.LBL,13691834.8829,3012387.3504
1.27.L.LBL,13691810.7707,3012387.3504
1.28.A.LBL,13692101.5244,3012407.3504
1.28.B.YEL,13692080.7784,3012407.3504
1.28.C.LBL,13692053.3001,3012407.3504
1.28.D.YEL,13692025.8218,3012407.3504
1.28.E.LBL,13691998.3435,3012407.3504
1.28.F.LBL,13691970.8652,3012407.3504
1.28.G.DBL,13691944.0913,3012407.3504
1.28.H.LBL,13691917.3178,3012407.3504
1.28.I.LBL,13691889.8395,3012407.3504
1.28.J.LBL,13691862.3612,3012407.3504
1.28.K.LBL,13691834.8829,3012407.3504
1.28.L.LBL,13691810.7707,3012407.3504
1.29.A.LBL,13692101.5244,3012427.3507
1.29.B.LBL,13692080.7784,3012427.3507
1.29.C.LBL,13692053.3001,3012427.3507
1.29.D.LBL,13692025.8218,3012427.3507
1.29.E.LBL,13691998.3435,3012427.3507
1.29.F.LBL,13691970.8652,3012427.3507
1.29.G.DBL,13691944.0913,3012427.3507
1.29.H.LBL,13691917.3178,3012427.3507
1.29.I.LBL,13691889.8395,3012427.3507
1.29.J.LBL,13691862.3612,3012427.3507
1.29.K.LBL,13691834.8829,3012427.3507
1.29.L.LBL,13691810.7707,3012427.3507
1.30.A.LBL,13692101.5244,3012447.3506
1.30.B.LBL,13692080.7784,3012447.3506
1.30.C.LBL,13692053.3001,3012447.3506
1.30.D.YEL,13692025.8218,3012447.3506
1.30.E.LBL,13691998.3435,3012447.3506
1.30.F.LBL,13691970.8652,3012447.3506
1.30.G.DBL,13691944.0913,3012447.3506
1.30.H.YEL,13691917.3178,3012447.3506
1.30.I.LBL,13691889.8395,3012447.3506
1.30.J.LBL,13691862.3612,3012447.3506
1.30.K.LBL,13691834.8829,3012447.3506
1.30.L.LBL,13691810.7707,3012447.3506
1.31.A.LBL,13692101.5244,3012467.3506
1.31.B.YEL,13692080.7784,3012467.3506
1.31.C.LBL,13692053.3001,3012467.3506
1.31.D.YEL,13692025.8218,3012467.3506
1.31.E.YEL,13691998.3435,3012467.3506
1.31.F.LBL,13691970.8652,3012467.3506
1.31.G.DBL,13691944.0913,3012467.3506
1.31.H.LBL,13691917.3178,3012467.3506
1.31.I.LBL,13691889.8395,3012467.3506
1.31.J.LBL,13691862.3612,3012467.3506
1.31.K.LBL,13691834.8829,3012467.3506
1.31.L.LBL,13691810.7707,3012467.3506
1.32.A.LBL,13692101.5244,3012487.3505
1.32.B.LBL,13692080.7784,3012487.3505
1.32.C.LBL,13692053.3001,3012487.3505
1.32.D.LBL,13692025.8218,3012487.3505
1.32.E.YEL,13691998.3435,3012487.3505
1.32.F.LBL,13691970.8652,3012487.3505
1.32.G.DBL,13691944.0913,3012487.3505
1.32.H.YEL,13691917.3178,3012487.3505
1.32.I.LBL,13691889.8395,3012487.3505
1.32.J.LBL,13691862.3612,3012487.3505
1.32.K.LBL,13691834.8829,3012487.3505
1.32.L.LBL,13691810.7707,3012487.3505
1.33.A.LBL,13692101.5244,3012507.3505
1.33.B.LBL,13692080.7784,3012507.3505
1.33.C.YEL,13692053.3001,3012507.3505
1.33.D.LBL,13692025.8218,3012507.3505
1.33.E.LBL,13691998.3435,3012507.3505
1.33.F.LBL,13691970.8652,3012507.3505
1.33.G.DBL,13691944.0913,3012507.3505
1.33.H.LBL,13691917.3178,3012507.3505
1.33.I.LBL,13691889.8395,3012507.3505
1.33.J.LBL,13691862.3612,3012507.3505
1.33.K.LBL,13691834.8829,3012507.3505
1.33.L.LBL,13691810.7707,3012507.3505
1.34.A.LBL,13692101.5244,3012527.3505
1.34.B.LBL,13692080.7784,3012527.3505
1.34.C.YEL,13692053.3001,3012527.3505
1.34.D.YEL,13692025.8218,3012527.3505
1.34.E.YEL,13691998.3435,3012527.3505
1.34.F.YEL,13691970.8652,3012527.3505
1.34.G.DBL,13691944.0913,3012527.3505
1.34.H.LBL,13691917.3178,3012527.3505
1.34.I.LBL,13691889.8395,3012527.3505
1.34.J.LBL,13691862.3612,3012527.3505
1.34.K.LBL,13691834.8829,3012527.3505
1.34.L.LBL,13691810.7707,3012527.3505
1.35.A.YEL,13692101.5244,3012547.3504
1.35.B.YEL,13692080.7784,3012547.3504
1.35.C.YEL,13692053.3001,3012547.3504
1.35.D.YEL,13692025.8218,3012547.3504
1.35.E.YEL,13691998.3435,3012547.3504
1.35.F.YEL,13691970.8652,3012547.3504
1.35.G.DBL,13691944.0913,3012547.3504
1.35.H.YEL,13691917.3178,3012547.3504
1.35.I.LBL,13691889.8395,3012547.3504
1.35.J.YEL,13691862.3612,3012547.3504
1.35.K.YEL,13691834.8829,3012547.3504
1.35.L.YEL,13691810.7707,3012547.3504
1.36.A.LBL,13692101.5244,3012567.3504
1.36.B.LBL,13692080.7784,3012567.3504
1.36.C.LBL,13692053.3001,3012567.3504
1.36.D.LBL,13692025.8218,3012567.3504
1.36.E.YEL,13691998.3435,3012567.3504
1.36.F.YEL,13691970.8652,3012567.3504
1.36.G.DBL,13691944.0913,3012567.3504
1.36.H.LBL,13691917.3178,3012567.3504
1.36.I.LBL,13691889.8395,3012567.3504
1.36.J.YEL,13691862.3612,3012567.3504
1.36.K.YEL,13691834.8829,3012567.3504
1.36.L.LBL,13691810.7707,3012567.3504
1.37.A.LBL,13692101.5244,3012587.3507
1.37.B.LBL,13692080.7784,3012587.3507
1.37.C.LBL,13692053.3001,3012587.3507
1.37.D.LBL,13692025.8218,3012587.3507
1.37.E.LBL,13691998.3435,3012587.3507
1.37.F.LBL,13691970.8652,3012587.3507
1.37.G.DBL,13691944.0913,3012587.3507
1.37.H.LBL,13691917.3178,3012587.3507
1.37.I.YEL,13691889.8395,3012587.3507
1.37.J.YEL,13691862.3612,3012587.3507
1.37.K.YEL,13691834.8829,3012587.3507
1.37.L.YEL,13691810.7707,3012587.3507
1.38.A.LBL,13692101.5244,3012607.3506
1.38.B.LBL,13692080.7784,3012607.3506
1.38.C.LBL,13692053.3001,3012607.3506
1.38.D.LBL,13692025.8218,3012607.3506
1.38.E.LBL,13691998.3435,3012607.3506
1.38.F.YEL,13691970.8652,3012607.3506
1.38.G.DBL,13691944.0913,3012607.3506
1.38.H.LBL,13691917.3178,3012607.3506
1.38.I.LBL,13691889.8395,3012607.3506
1.38.J.LBL,13691862.3612,3012607.3506
1.38.K.LBL,13691834.8829,3012607.3506
1.38.L.YEL,13691810.7707,3012607.3506
1.39.A.LBL,13692101.5244,3012627.3506
1.39.B.LBL,13692080.7784,3012627.3506
1.39.C.LBL,13692053.3001,3012627.3506
1.39.D.LBL,13692025.8218,3012627.3506
1.39.E.LBL,13691998.3435,3012627.3506
1.39.F.LBL,13691970.8652,3012627.3506
1.39.G.DBL,13691944.0913,3012627.3506
1.39.H.LBL,13691917.3178,3012627.3506
1.39.I.LBL,13691889.8395,3012627.3506
1.39.J.LBL,13691862.3612,3012627.3506
1.39.K.LGR,13691834.8829,3012627.3506
1.39.L.YEL,13691810.7707,3012627.3506
1.40.A.LBL,13692101.5244,3012647.3505
1.40.B.LBL,13692080.7784,3012647.3505
1.40.C.LBL,13692053.3001,3012647.3505
1.40.D.LBL,13692025.8218,3012647.3505
1.40.E.LBL,13691998.3435,3012647.3505
1.40.F.LBL,13691970.8652,3012647.3505
1.40.G.DBL,13691944.0913,3012647.3505
1.40.H.LBL,13691917.3178,3012647.3505
1.40.I.LBL,13691889.8395,3012647.3505
1.40.J.LBL,13691862.3612,3012647.3505
1.40.K.LGR,13691834.8829,3012647.3505
1.40.L.LBL,13691810.7707,3012647.3505
1.41.A.LBL,13692101.5244,3012667.3505
1.41.B.LBL,13692080.7784,3012667.3505
1.41.C.LBL,13692053.3001,3012667.3505
1.41.D.LBL,13692025.8218,3012667.3505
1.41.E.LBL,13691998.3435,3012667.3505
1.41.F.LBL,13691970.8652,3012667.3505
1.41.G.DBL,13691944.0913,3012667.3505
1.41.H.LBL,13691917.3178,3012667.3505
1.41.I.LBL,13691889.8395,3012667.3505
1.41.J.LBL,13691862.3612,3012667.3505
1.41.K.LGR,13691834.8829,3012667.3505
1.41.L.LBL,13691810.7707,3012667.3505
1.42.A.WHT,13692101.5244,3012687.3505
1.42.B.WHT,13692080.7784,3012687.3505
1.42.C.WHT,13692053.3001,3012687.3505
1.42.D.WHT,13692025.8218,3012687.3505
1.42.E.WHT,13691998.3435,3012687.3505
1.42.F.WHT,13691970.8652,3012687.3505
1.42.G.BRO,13691944.0913,3012687.3505
1.42.H.WHT,13691917.3178,3012687.3505
1.42.I.WHT,13691889.8395,3012687.3505
1.42.J.WHT,13691862.3612,3012687.3505
1.42.K.RED,13691834.8829,3012687.3505
1.42.L.RED,13691810.7707,3012687.3505
1.43.A.WHT,13692101.5244,3012707.3504
1.43.B.WHT,13692080.7784,3012707.3504
1.43.C.WHT,13692053.3001,3012707.3504
1.43.D.WHT,13692025.8218,3012707.3504
1.43.E.WHT,13691998.3435,3012707.3504
1.43.F.WHT,13691970.8652,3012707.3504
1.43.G.PRP,13691944.0913,3012707.3504
1.43.H.WHT,13691917.3178,3012707.3504
1.43.I.WHT,13691889.8395,3012707.3504
1.43.J.WHT,13691862.3612,3012707.3504
1.43.K.WHT,13691834.8829,3012707.3504
1.43.L.WHT,13691810.7707,3012707.3504
2.1.A.YEL,13691782.2629,3011867.3505
2.1.B.LBL,13691761.5166,3011867.3505
2.1.C.LBL,13691734.0383,3011867.3505
2.1.D.LBL,13691706.5600,3011867.3505
2.1.E.LBL,13691679.0817,3011867.3505
2.1.F.LBL,13691651.6034,3011867.3505
2.1.G.PRP,13691624.8298,3011867.3505
2.1.H.LBL,13691598.0560,3011867.3505
2.1.I.LBL,13691570.5777,3011867.3505
2.1.J.LBL,13691543.0994,3011867.3505
2.1.K.LBL,13691515.6211,3011867.3505
2.1.L.LBL,13691491.5089,3011867.3505
2.2.A.YEL,13691782.2629,3011887.3504
2.2.B.YEL,13691761.5166,3011887.3504
2.2.C.LBL,13691734.0383,3011887.3504
2.2.D.LBL,13691706.5600,3011887.3504
2.2.E.LBL,13691679.0817,3011887.3504
2.2.F.LBL,13691651.6034,3011887.3504
2.2.G.DBL,13691624.8298,3011887.3504
2.2.H.LBL,13691598.0560,3011887.3504
2.2.I.LBL,13691570.5777,3011887.3504
2.2.J.LBL,13691543.0994,3011887.3504
2.2.K.LBL,13691515.6211,3011887.3504
2.2.L.LBL,13691491.5089,3011887.3504
2.3.A.ORA,13691782.2629,3011907.3504
2.3.B.YEL,13691761.5166,3011907.3504
2.3.C.YEL,13691734.0383,3011907.3504
2.3.D.LBL,13691706.5600,3011907.3504
2.3.E.LBL,13691679.0817,3011907.3504
2.3.F.LBL,13691651.6034,3011907.3504
2.3.G.DBL,13691624.8298,3011907.3504
2.3.H.LBL,13691598.0560,3011907.3504
2.3.I.LBL,13691570.5777,3011907.3504
2.3.J.YEL,13691543.0994,3011907.3504
2.3.K.LBL,13691515.6211,3011907.3504
2.3.L.LBL,13691491.5089,3011907.3504
2.4.A.LBL,13691782.2629,3011927.3503
2.4.B.ORA,13691761.5166,3011927.3503
2.4.C.YEL,13691734.0383,3011927.3503
2.4.D.LBL,13691706.5600,3011927.3503
2.4.E.LBL,13691679.0817,3011927.3503
2.4.F.LBL,13691651.6034,3011927.3503
2.4.G.DBL,13691624.8298,3011927.3503
2.4.H.YEL,13691598.0560,3011927.3503
2.4.I.YEL,13691570.5777,3011927.3503
2.4.J.YEL,13691543.0994,3011927.3503
2.4.K.YEL,13691515.6211,3011927.3503
2.4.L.LBL,13691491.5089,3011927.3503
2.5.A.LBL,13691782.2629,3011947.3506
2.5.B.ORA,13691761.5166,3011947.3506
2.5.C.LBL,13691734.0383,3011947.3506
2.5.D.YEL,13691706.5600,3011947.3506
2.5.E.YEL,13691679.0817,3011947.3506
2.5.F.LBL,13691651.6034,3011947.3506
2.5.G.DBL,13691624.8298,3011947.3506
2.5.H.YEL,13691598.0560,3011947.3506
2.5.I.LBL,13691570.5777,3011947.3506
2.5.J.YEL,13691543.0994,3011947.3506
2.5.K.LBL,13691515.6211,3011947.3506
2.5.L.LBL,13691491.5089,3011947.3506
2.6.A.LBL,13691782.2629,3011967.3506
2.6.B.LBL,13691761.5166,3011967.3506
2.6.C.ORA,13691734.0383,3011967.3506
2.6.D.YEL,13691706.5600,3011967.3506
2.6.E.YEL,13691679.0817,3011967.3506
2.6.F.YEL,13691651.6034,3011967.3506
