Pilecode,N,E
1.6.I.YEL,13696687.1094,2996139.3271
1.6.J.YEL,13696659.6308,2996139.3271
1.6.K.YEL,13696632.1525,2996139.3271
1.6.L.YEL,13696608.0404,2996139.3271
1.7.A.LBL,13696898.7944,2996159.3271
1.7.B.LBL,13696878.0483,2996159.3271
1.7.C.LBL,13696850.5697,2996159.3271
1.7.D.YEL,13696823.0914,2996159.3271
1.7.E.YEL,13696795.6131,2996159.3271
1.7.F.YEL,13696768.1348,2996159.3271
1.7.G.DBL,13696741.3613,2996159.3271
1.7.H.YEL,13696714.5877,2996159.3271
1.7.I.YEL,13696687.1094,2996159.3271
1.7.J.YEL,13696659.6308,2996159.3271
1.7.K.YEL,13696632.1525,2996159.3271
1.7.L.YEL,13696608.0404,2996159.3271
1.8.A.LBL,13696898.7944,2996179.3270
1.8.B.LBL,13696878.0483,2996179.3270
1.8.C.YEL,13696850.5697,2996179.3270
1.8.D.YEL,13696823.0914,2996179.3270
1.8.E.YEL,13696795.6131,2996179.3270
1.8.F.YEL,13696768.1348,2996179.3270
1.8.G.DBL,13696741.3613,2996179.3270
1.8.H.YEL,13696714.5877,2996179.3270
1.8.I.YEL,13696687.1094,2996179.3270
1.8.J.YEL,13696659.6308,2996179.3270
1.8.K.YEL,13696632.1525,2996179.3270
1.8.L.YEL,13696608.0404,2996179.3270
1.9.A.YEL,13696898.7944,2996199.3273
1.9.B.YEL,13696878.0483,2996199.3273
1.9.C.YEL,13696850.5697,2996199.3273
1.9.D.YEL,13696823.0914,2996199.3273
1.9.E.YEL,13696795.6131,2996199.3273
1.9.F.YEL,13696768.1348,2996199.3273
1.9.G.DBL,13696741.3613,2996199.3273
1.9.H.YEL,13696714.5877,2996199.3273
1.9.I.YEL,13696687.1094,2996199.3273
1.9.J.YEL,13696659.6308,2996199.3273
1.9.K.YEL,13696632.1525,2996199.3273
1.9.L.YEL,13696608.0404,2996199.3273
1.10.A.YEL,13696898.7944,2996219.3273
1.10.B.YEL,13696878.0483,2996219.3273
1.10.C.YEL,13696850.5697,2996219.3273
1.10.D.YEL,13696823.0914,2996219.3273
1.10.E.YEL,13696795.6131,2996219.3273
1.10.F.YEL,13696768.1348,2996219.3273
1.10.G.DBL,13696741.3613,2996219.3273
1.10.H.YEL,13696714.5877,2996219.3273
1.10.I.YEL,13696687.1094,2996219.3273
1.10.J.YEL,13696659.6308,2996219.3273
1.10.K.YEL,13696632.1525,2996219.3273
1.10.L.YEL,13696608.0404,2996219.3273
1.11.A.YEL,13696898.7944,2996239.3273
1.11.B.YEL,13696878.0483,2996239.3273
1.11.C.YEL,13696850.5697,2996239.3273
1.11.D.YEL,13696823.0914,2996239.3273
1.11.E.YEL,13696795.6131,2996239.3273
1.11.F.YEL,13696768.1348,2996239.3273
1.11.G.DBL,13696741.3613,2996239.3273
1.11.H.YEL,13696714.5877,2996239.3273
1.11.I.YEL,13696687.1094,2996239.3273
1.11.J.YEL,13696659.6308,2996239.3273
1.11.K.YEL,13696632.1525,2996239.3273
1.11.L.YEL,13696608.0404,2996239.3273
1.12.A.LBL,13696898.7944,2996259.3272
1.12.B.LBL,13696878.0483,2996259.3272
1.12.C.YEL,13696850.5697,2996259.3272
1.12.D.YEL,13696823.0914,2996259.3272
1.12.E.YEL,13696795.6131,2996259.3272
1.12.F.YEL,13696768.1348,2996259.3272
1.12.G.DBL,13696741.3613,2996259.3272
1.12.H.YEL,13696714.5877,2996259.3272
1.12.I.YEL,13696687.1094,2996259.3272
1.12.J.YEL,13696659.6308,2996259.3272
1.12.K.YEL,13696632.1525,2996259.3272
1.12.L.YEL,13696608.0404,2996259.3272
1.13.A.LBL,13696898.7944,2996279.3272
1.13.B.LBL,13696878.0483,2996279.3272
1.13.C.YEL,13696850.5697,2996279.3272
1.13.D.YEL,13696823.0914,2996279.3272
1.13.E.YEL,13696795.6131,2996279.3272
1.13.F.LBL,13696768.1348,2996279.3272
1.13.G.DBL,13696741.3613,2996279.3272
1.13.H.YEL,13696714.5877,2996279.3272
1.13.I.YEL,13696687.1094,2996279.3272
1.13.J.YEL,13696659.6308,2996279.3272
1.13.K.YEL,13696632.1525,2996279.3272
1.13.L.YEL,13696608.0404,2996279.3272
1.14.A.LBL,13696898.7944,2996299.3271
1.14.B.LBL,13696878.0483,2996299.3271
1.14.C.LBL,13696850.5697,2996299.3271
1.14.D.YEL,13696823.0914,2996299.3271
1.14.E.YEL,13696795.6131,2996299.3271
1.14.F.LBL,13696768.1348,2996299.3271
1.14.G.DBL,13696741.3613,2996299.3271
1.14.H.YEL,13696714.5877,2996299.3271
1.14.I.YEL,13696687.1094,2996299.3271
1.14.J.YEL,13696659.6308,2996299.3271
1.14.K.YEL,13696632.1525,2996299.3271
1.14.L.YEL,13696608.0404,2996299.3271
1.15.A.LBL,13696898.7944,2996319.3271
1.15.B.LBL,13696878.0483,2996319.3271
1.15.C.LBL,13696850.5697,2996319.3271
1.15.D.YEL,13696823.0914,2996319.3271
1.15.E.YEL,13696795.6131,2996319.3271
1.15.F.YEL,13696768.1348,2996319.3271
1.15.G.DBL,13696741.3613,2996319.3271
1.15.H.YEL,13696714.5877,2996319.3271
1.15.I.YEL,13696687.1094,2996319.3271
1.15.J.YEL,13696659.6308,2996319.3271
1.15.K.YEL,13696632.1525,2996319.3271
1.15.L.YEL,13696608.0404,2996319.3271
1.16.A.LBL,13696898.7944,2996339.3271
1.16.B.LBL,13696878.0483,2996339.3271
1.16.C.LBL,13696850.5697,2996339.3271
1.16.D.LBL,13696823.0914,2996339.3271
1.16.E.YEL,13696795.6131,2996339.3271
1.16.F.YEL,13696768.1348,2996339.3271
1.16.G.DBL,13696741.3613,2996339.3271
1.16.H.YEL,13696714.5877,2996339.3271
1.16.I.YEL,13696687.1094,2996339.3271
1.16.J.YEL,13696659.6308,2996339.3271
1.16.K.YEL,13696632.1525,2996339.3271
1.16.L.YEL,13696608.0404,2996339.3271
1.17.A.LBL,13696898.7944,2996359.3273
1.17.B.LBL,13696878.0483,2996359.3273
1.17.C.LBL,13696850.5697,2996359.3273
1.17.D.LBL,13696823.0914,2996359.3273
1.17.E.YEL,13696795.6131,2996359.3273
1.17.F.YEL,13696768.1348,2996359.3273
1.17.G.DBL,13696741.3613,2996359.3273
1.17.H.YEL,13696714.5877,2996359.3273
1.17.I.YEL,13696687.1094,2996359.3273
1.17.J.YEL,13696659.6308,2996359.3273
1.17.K.YEL,13696632.1525,2996359.3273
1.17.L.YEL,13696608.0404,2996359.3273
1.18.A.LBL,13696898.7944,2996379.3273
1.18.B.LBL,13696878.0483,2996379.3273
1.18.C.YEL,13696850.5697,2996379.3273
1.18.D.LBL,13696823.0914,2996379.3273
1.18.E.YEL,13696795.6131,2996379.3273
1.18.F.YEL,13696768.1348,2996379.3273
1.18.G.DBL,13696741.3613,2996379.3273
1.18.H.YEL,13696714.5877,2996379.3273
1.18.I.YEL,13696687.1094,2996379.3273
1.18.J.YEL,13696659.6308,2996379.3273
1.18.K.YEL,13696632.1525,2996379.3273
1.18.L.YEL,13696608.0404,2996379.3273
1.19.A.LBL,13696898.7944,2996399.3273
1.19.B.LBL,13696878.0483,2996399.3273
1.19.C.LBL,13696850.5697,2996399.3273
1.19.D.YEL,13696823.0914,2996399.3273
1.19.E.YEL,13696795.6131,2996399.3273
1.19.F.YEL,13696768.1348,2996399.3273
1.19.G.DBL,13696741.3613,2996399.3273
1.19.H.YEL,13696714.5877,2996399.3273
1.19.I.YEL,13696687.1094,2996399.3273
1.19.J.YEL,13696659.6308,2996399.3273
1.19.K.YEL,13696632.1525,2996399.3273
1.19.L.YEL,13696608.0404,2996399.3273
1.20.A.LBL,13696898.7944,2996419.3272
1.20.B.LBL,13696878.0483,2996419.3272
1.20.C.LBL,13696850.5697,2996419.3272
1.20.D.YEL,13696823.0914,2996419.3272
1.20.E.LBL,13696795.6131,2996419.3272
1.20.F.YEL,13696768.1348,2996419.3272
1.20.G.DBL,13696741.3613,2996419.3272
1.20.H.YEL,13696714.5877,2996419.3272
1.20.I.YEL,13696687.1094,2996419.3272
1.20.J.YEL,13696659.6308,2996419.3272
1.20.K.YEL,13696632.1525,2996419.3272
1.20.L.YEL,13696608.0404,2996419.3272
1.21.A.LBL,13696898.7944,2996439.3272
1.21.B.LBL,13696878.0483,2996439.3272
1.21.C.YEL,13696850.5697,2996439.3272
1.21.D.YEL,13696823.0914,2996439.3272
1.21.E.YEL,13696795.6131,2996439.3272
1.21.F.YEL,13696768.1348,2996439.3272
1.21.G.DBL,13696741.3613,2996439.3272
1.21.H.YEL,13696714.5877,2996439.3272
1.21.I.YEL,13696687.1094,2996439.3272
1.21.J.YEL,13696659.6308,2996439.3272
1.21.K.YEL,13696632.1525,2996439.3272
1.21.L.YEL,13696608.0404,2996439.3272
1.22.A.LBL,13696898.7944,2996459.3271
1.22.B.YEL,13696878.0483,2996459.3271
1.22.C.LBL,13696850.5697,2996459.3271
1.22.D.YEL,13696823.0914,2996459.3271
1.22.E.YEL,13696795.6131,2996459.3271
1.22.F.YEL,13696768.1348,2996459.3271
1.22.G.DBL,13696741.3613,2996459.3271
1.22.H.YEL,13696714.5877,2996459.3271
1.22.I.YEL,13696687.1094,2996459.3271
1.22.J.YEL,13696659.6308,2996459.3271
1.22.K.YEL,13696632.1525,2996459.3271
1.22.L.YEL,13696608.0404,2996459.3271
1.23.A.YEL,13696898.7944,2996479.3271
1.23.B.YEL,13696878.0483,2996479.3271
1.23.C.YEL,13696850.5697,2996479.3271
1.23.D.YEL,13696823.0914,2996479.3271
1.23.E.YEL,13696795.6131,2996479.3271
1.23.F.YEL,13696768.1348,2996479.3271
1.23.G.DBL,13696741.3613,2996479.3271
1.23.H.YEL,13696714.5877,2996479.3271
1.23.I.YEL,13696687.1094,2996479.3271
1.23.J.YEL,13696659.6308,2996479.3271
1.23.K.YEL,13696632.1525,2996479.3271
1.23.L.YEL,13696608.0404,2996479.3271
1.24.A.YEL,13696898.7944,2996499.3271
1.24.B.LBL,13696878.0483,2996499.3271
1.24.C.YEL,13696850.5697,2996499.3271
1.24.D.YEL,13696823.0914,2996499.3271
1.24.E.YEL,13696795.6131,2996499.3271
1.24.F.YEL,13696768.1348,2996499.3271
1.24.G.DBL,13696741.3613,2996499.3271
1.24.H.YEL,13696714.5877,2996499.3271
1.24.I.YEL,13696687.1094,2996499.3271
1.24.J.YEL,13696659.6308,2996499.3271
1.24.K.YEL,13696632.1525,2996499.3271
1.24.L.YEL,13696608.0404,2996499.3271
1.25.A.YEL,13696898.7944,2996519.3274
1.25.B.YEL,13696878.0483,2996519.3274
1.25.C.YEL,13696850.5697,2996519.3274
1.25.D.YEL,13696823.0914,2996519.3274
1.25.E.YEL,13696795.6131,2996519.3274
1.25.F.YEL,13696768.1348,2996519.3274
1.25.G.DBL,13696741.3613,2996519.3274
1.25.H.YEL,13696714.5877,2996519.3274
1.25.I.YEL,13696687.1094,2996519.3274
1.25.J.YEL,13696659.6308,2996519.3274
1.25.K.YEL,13696632.1525,2996519.3274
1.25.L.YEL,13696608.0404,2996519.3274
1.26.A.YEL,13696898.7944,2996539.3273
1.26.B.YEL,13696878.0483,2996539.3273
1.26.C.YEL,13696850.5697,2996539.3273
1.26.D.YEL,13696823.0914,2996539.3273
1.26.E.YEL,13696795.6131,2996539.3273
1.26.F.YEL,13696768.1348,2996539.3273
1.26.G.DBL,13696741.3613,2996539.3273
1.26.H.LBL,13696714.5877,2996539.3273
1.26.I.YEL,13696687.1094,2996539.3273
1.26.J.YEL,13696659.6308,2996539.3273
1.26.K.YEL,13696632.1525,2996539.3273
1.26.L.YEL,13696608.0404,2996539.3273
1.27.A.YEL,13696898.7944,2996559.3273
1.27.B.YEL,13696878.0483,2996559.3273
1.27.C.YEL,13696850.5697,2996559.3273
1.27.D.YEL,13696823.0914,2996559.3273
1.27.E.YEL,13696795.6131,2996559.3273
1.27.F.YEL,13696768.1348,2996559.3273
1.27.G.DBL,13696741.3613,2996559.3273
1.27.H.LBL,13696714.5877,2996559.3273
1.27.I.YEL,13696687.1094,2996559.3273
1.27.J.YEL,13696659.6308,2996559.3273
1.27.K.YEL,13696632.1525,2996559.3273
1.27.L.YEL,13696608.0404,2996559.3273
1.28.A.YEL,13696898.7944,2996579.3272
1.28.B.YEL,13696878.0483,2996579.3272
1.28.C.YEL,13696850.5697,2996579.3272
1.28.D.YEL,13696823.0914,2996579.3272
1.28.E.YEL,13696795.6131,2996579.3272
1.28.F.YEL,13696768.1348,2996579.3272
1.28.G.DBL,13696741.3613,2996579.3272
1.28.H.YEL,13696714.5877,2996579.3272
1.28.I.LBL,13696687.1094,2996579.3272
1.28.J.LBL,13696659.6308,2996579.3272
1.28.K.YEL,13696632.1525,2996579.3272
1.28.L.YEL,13696608.0404,2996579.3272
1.29.A.YEL,13696898.7944,2996599.3272
1.29.B.YEL,13696878.0483,2996599.3272
1.29.C.YEL,13696850.5697,2996599.3272
1.29.D.YEL,13696823.0914,2996599.3272
1.29.E.YEL,13696795.6131,2996599.3272
1.29.F.YEL,13696768.1348,2996599.3272
1.29.G.DBL,13696741.3613,2996599.3272
1.29.H.YEL,13696714.5877,2996599.3272
1.29.I.YEL,13696687.1094,2996599.3272
1.29.J.YEL,13696659.6308,2996599.3272
1.29.K.YEL,13696632.1525,2996599.3272
1.29.L.YEL,13696608.0404,2996599.3272
1.30.A.YEL,13696898.7944,2996619.3272
1.30.B.YEL,13696878.0483,2996619.3272
1.30.C.YEL,13696850.5697,2996619.3272
1.30.D.YEL,13696823.0914,2996619.3272
1.30.E.YEL,13696795.6131,2996619.3272
1.30.F.YEL,13696768.1348,2996619.3272
1.30.G.DBL,13696741.3613,2996619.3272
1.30.H.YEL,13696714.5877,2996619.3272
1.30.I.YEL,13696687.1094,2996619.3272
1.30.J.YEL,13696659.6308,2996619.3272
1.30.K.YEL,13696632.1525,2996619.3272
1.30.L.YEL,13696608.0404,2996619.3272
1.31.A.YEL,13696898.7944,2996639.3271
1.31.B.YEL,13696878.0483,2996639.3271
1.31.C.YEL,13696850.5697,2996639.3271
1.31.D.YEL,13696823.0914,2996639.3271
1.31.E.YEL,13696795.6131,2996639.3271
1.31.F.YEL,13696768.1348,2996639.3271
1.31.G.DBL,13696741.3613,2996639.3271
1.31.H.YEL,13696714.5877,2996639.3271
1.31.I.YEL,13696687.1094,2996639.3271
1.31.J.YEL,13696659.6308,2996639.3271
1.31.K.YEL,13696632.1525,2996639.3271
1.31.L.YEL,13696608.0404,2996639.3271
1.32.A.YEL,13696898.7944,2996659.3271
1.32.B.YEL,13696878.0483,2996659.3271
1.32.C.YEL,13696850.5697,2996659.3271
1.32.D.YEL,13696823.0914,2996659.3271
1.32.E.YEL,13696795.6131,2996659.3271
1.32.F.YEL,13696768.1348,2996659.3271
1.32.G.DBL,13696741.3613,2996659.3271
1.32.H.YEL,13696714.5877,2996659.3271
1.32.I.YEL,13696687.1094,2996659.3271
1.32.J.YEL,13696659.6308,2996659.3271
1.32.K.YEL,13696632.1525,2996659.3271
1.32.L.YEL,13696608.0404,2996659.3271
1.33.A.YEL,13696898.7944,2996679.3274
1.33.B.YEL,13696878.0483,2996679.3274
1.33.C.YEL,13696850.5697,2996679.3274
1.33.D.YEL,13696823.0914,2996679.3274
1.33.E.YEL,13696795.6131,2996679.3274
1.33.F.YEL,13696768.1348,2996679.3274
1.33.G.DBL,13696741.3613,2996679.3274
1.33.H.YEL,13696714.5877,2996679.3274
1.33.I.YEL,13696687.1094,2996679.3274
1.33.J.YEL,13696659.6308,2996679.3274
1.33.K.YEL,13696632.1525,2996679.3274
1.33.L.YEL,13696608.0404,2996679.3274
1.34.A.YEL,13696898.7944,2996699.3273
1.34.B.YEL,13696878.0483,2996699.3273
1.34.C.YEL,13696850.5697,2996699.3273
1.34.D.YEL,13696823.0914,2996699.3273
1.34.E.YEL,13696795.6131,2996699.3273
1.34.F.YEL,13696768.1348,2996699.3273
1.34.G.DBL,13696741.3613,2996699.3273
1.34.H.YEL,13696714.5877,2996699.3273
1.34.I.YEL,13696687.1094,2996699.3273
1.34.J.YEL,13696659.6308,2996699.3273
1.34.K.LGR,13696632.1525,2996699.3273
1.34.L.YEL,13696608.0404,2996699.3273
1.35.A.LBL,13696898.7944,2996719.3273
1.35.B.LBL,13696878.0483,2996719.3273
1.35.C.LBL,13696850.5697,2996719.3273
1.35.D.LBL,13696823.0914,2996719.3273
1.35.E.LBL,13696795.6131,2996719.3273
1.35.F.LBL,13696768.1348,2996719.3273
1.35.G.PRP,13696741.3613,2996719.3273
1.35.H.LBL,13696714.5877,2996719.3273
1.35.I.LBL,13696687.1094,2996719.3273
1.35.J.LBL,13696659.6308,2996719.3273
1.35.K.LGR,13696632.1525,2996719.3273
1.35.L.LBL,13696608.0404,2996719.3273
1.36.A.LBL,13696898.7944,2996745.9906
1.36.B.LBL,13696878.0483,2996745.9906
1.36.C.LBL,13696850.5697,2996745.9906
1.36.D.LBL,13696823.0914,2996745.9906
1.36.E.LBL,13696795.6131,2996745.9906
1.36.F.LBL,13696768.1348,2996745.9906
1.36.G.PRP,13696741.3613,2996745.9906
1.36.H.LBL,13696714.5877,2996745.9906
1.36.I.LBL,13696687.1094,2996745.9906
1.36.J.LBL,13696659.6308,2996745.9906
1.36.K.LGR,13696632.1525,2996745.9906
1.36.L.LBL,13696608.0404,2996745.9906
1.37.A.LBL,13696898.7944,2996765.9906
1.37.B.LBL,13696878.0483,2996765.9906
1.37.C.YEL,13696850.5697,2996765.9906
1.37.D.YEL,13696823.0914,2996765.9906
1.37.E.YEL,13696795.6131,2996765.9906
1.37.F.YEL,13696768.1348,2996765.9906
1.37.G.DBL,13696741.3613,2996765.9906
1.37.H.YEL,13696714.5877,2996765.9906
1.37.I.YEL,13696687.1094,2996765.9906
1.37.J.YEL,13696659.6308,2996765.9906
1.37.K.LGR,13696632.1525,2996765.9906
1.37.L.YEL,13696608.0404,2996765.9906
1.38.A.LBL,13696898.7944,2996785.9905
1.38.B.LBL,13696878.0483,2996785.9905
1.38.C.LBL,13696850.5697,2996785.9905
1.38.D.YEL,13696823.0914,2996785.9905
1.38.E.YEL,13696795.6131,2996785.9905
1.38.F.YEL,13696768.1348,2996785.9905
1.38.G.DBL,13696741.3613,2996785.9905
1.38.H.YEL,13696714.5877,2996785.9905
1.38.I.YEL,13696687.1094,2996785.9905
1.38.J.YEL,13696659.6308,2996785.9905
1.38.K.LGR,13696632.1525,2996785.9905
1.38.L.YEL,13696608.0404,2996785.9905
1.39.A.LBL,13696898.7944,2996805.9905
1.39.B.LBL,13696878.0483,2996805.9905
1.39.C.LBL,13696850.5697,2996805.9905
1.39.D.YEL,13696823.0914,2996805.9905
1.39.E.YEL,13696795.6131,2996805.9905
1.39.F.YEL,13696768.1348,2996805.9905
1.39.G.DBL,13696741.3613,2996805.9905
1.39.H.YEL,13696714.5877,2996805.9905
1.39.I.YEL,13696687.1094,2996805.9905
1.39.J.YEL,13696659.6308,2996805.9905
1.39.K.LGR,13696632.1525,2996805.9905
1.39.L.YEL,13696608.0404,2996805.9905
1.40.A.LBL,13696898.7944,2996825.9905
1.40.B.LBL,13696878.0483,2996825.9905
1.40.C.YEL,13696850.5697,2996825.9905
1.40.D.YEL,13696823.0914,2996825.9905
1.40.E.YEL,13696795.6131,2996825.9905
1.40.F.YEL,13696768.1348,2996825.9905
1.40.G.DBL,13696741.3613,2996825.9905
1.40.H.YEL,13696714.5877,2996825.9905
1.40.I.YEL,13696687.1094,2996825.9905
1.40.J.YEL,13696659.6308,2996825.9905
1.40.K.LGR,13696632.1525,2996825.9905
1.40.L.YEL,13696608.0404,2996825.9905
1.41.A.LBL,13696898.7944,2996845.9907
1.41.B.LBL,13696878.0483,2996845.9907
1.41.C.YEL,13696850.5697,2996845.9907
1.41.D.LBL,13696823.0914,2996845.9907
1.41.E.YEL,13696795.6131,2996845.9907
1.41.F.YEL,13696768.1348,2996845.9907
1.41.G.DBL,13696741.3613,2996845.9907
1.41.H.YEL,13696714.5877,2996845.9907
1.41.I.YEL,13696687.1094,2996845.9907
1.41.J.YEL,13696659.6308,2996845.9907
1.41.K.YEL,13696632.1525,2996845.9907
1.41.L.YEL,13696608.0404,2996845.9907
1.42.A.LBL,13696898.7944,2996865.9907
1.42.B.LBL,13696878.0483,2996865.9907
1.42.C.LBL,13696850.5697,2996865.9907
1.42.D.LBL,13696823.0914,2996865.9907
1.42.E.YEL,13696795.6131,2996865.9907
1.42.F.YEL,13696768.1348,2996865.9907
1.42.G.DBL,13696741.3613,2996865.9907
1.42.H.YEL,13696714.5877,2996865.9907
1.42.I.YEL,13696687.1094,2996865.9907
1.42.J.YEL,13696659.6308,2996865.9907
1.42.K.YEL,13696632.1525,2996865.9907
1.42.L.YEL,13696608.0404,2996865.9907
1.43.A.LBL,13696898.7944,2996885.9907
1.43.B.LBL,13696878.0483,2996885.9907
1.43.C.LBL,13696850.5697,2996885.9907
1.43.D.LBL,13696823.0914,2996885.9907
1.43.E.YEL,13696795.6131,2996885.9907
1.43.F.YEL,13696768.1348,2996885.9907
1.43.G.DBL,13696741.3613,2996885.9907
1.43.H.YEL,13696714.5877,2996885.9907
1.43.I.YEL,13696687.1094,2996885.9907
1.43.J.YEL,13696659.6308,2996885.9907
1.43.K.YEL,13696632.1525,2996885.9907
1.43.L.YEL,13696608.0404,2996885.9907
1.44.A.LBL,13696898.7944,2996905.9906
1.44.B.LBL,13696878.0483,2996905.9906
1.44.C.LBL,13696850.5697,2996905.9906
1.44.D.LBL,13696823.0914,2996905.9906
1.44.E.YEL,13696795.6131,2996905.9906
1.44.F.YEL,13696768.1348,2996905.9906
1.44.G.DBL,13696741.3613,2996905.9906
1.44.H.YEL,13696714.5877,2996905.9906
1.44.I.YEL,13696687.1094,2996905.9906
1.44.J.YEL,13696659.6308,2996905.9906
1.44.K.YEL,13696632.1525,2996905.9906
1.44.L.YEL,13696608.0404,2996905.9906
1.45.A.LBL,13696898.7944,2996925.9906
1.45.B.LBL,13696878.0483,2996925.9906
1.45.C.LBL,13696850.5697,2996925.9906
1.45.D.LBL,13696823.0914,2996925.9906
1.45.E.LBL,13696795.6131,2996925.9906
1.45.F.YEL,13696768.1348,2996925.9906
1.45.G.DBL,13696741.3613,2996925.9906
1.45.H.YEL,13696714.5877,2996925.9906
1.45.I.YEL,13696687.1094,2996925.9906
1.45.J.YEL,13696659.6308,2996925.9906
1.45.K.YEL,13696632.1525,2996925.9906
1.45.L.YEL,13696608.0404,2996925.9906
1.46.A.LBL,13696898.7944,2996945.9905
1.46.B.LBL,13696878.0483,2996945.9905
1.46.C.LBL,13696850.5697,2996945.9905
1.46.D.LBL,13696823.0914,2996945.9905
1.46.E.LBL,13696795.6131,2996945.9905
1.46.F.YEL,13696768.1348,2996945.9905
1.46.G.DBL,13696741.3613,2996945.9905
1.46.H.YEL,13696714.5877,2996945.9905
1.46.I.YEL,13696687.1094,2996945.9905
1.46.J.YEL,13696659.6308,2996945.9905
1.46.K.YEL,13696632.1525,2996945.9905
1.46.L.YEL,13696608.0404,2996945.9905
1.47.A.LBL,13696898.7944,2996965.9905
1.47.B.LBL,13696878.0483,2996965.9905
1.47.C.LBL,13696850.5697,2996965.9905
1.47.D.LBL,13696823.0914,2996965.9905
1.47.E.LBL,13696795.6131,2996965.9905
1.47.F.YEL,13696768.1348,2996965.9905
1.47.G.DBL,13696741.3613,2996965.9905
1.47.H.YEL,13696714.5877,2996965.9905
1.47.I.YEL,13696687.1094,2996965.9905
1.47.J.YEL,13696659.6308,2996965.9905
1.47.K.YEL,13696632.1525,2996965.9905
1.47.L.YEL,13696608.0404,2996965.9905
1.48.A.LBL,13696898.7944,2996985.9905
1.48.B.LBL,13696878.0483,2996985.9905
1.48.C.LBL,13696850.5697,2996985.9905
1.48.D.LBL,13696823.0914,2996985.9905
1.48.E.LBL,13696795.6131,2996985.9905
1.48.F.LBL,13696768.1348,2996985.9905
1.48.G.DBL,13696741.3613,2996985.9905
1.48.H.YEL,13696714.5877,2996985.9905
1.48.I.YEL,13696687.1094,2996985.9905
1.48.J.YEL,13696659.6308,2996985.9905
1.48.K.YEL,13696632.1525,2996985.9905
1.48.L.YEL,13696608.0404,2996985.9905
1.49.A.LBL,13696898.7944,2997005.9907
1.49.B.LBL,13696878.0483,2997005.9907
1.49.C.LBL,13696850.5697,2997005.9907
1.49.D.LBL,13696823.0914,2997005.9907
1.49.E.LBL,13696795.6131,2997005.9907
1.49.F.LBL,13696768.1348,2997005.9907
